JH_CALBODY,JH_INVBASDOC,LUHAO,PK_INSPECTIONCHECK,JH_INVNAME,JH_INSPECTIONRELAPLAN,JH_INSPECTIONRELAPLANNAME,JH_INSPECTIONPLAN,8区平均μm,Al%,As%,A级,B级,Cr%,Cu%,Cu+Cr+Ni%,Cu+Ni,C级,D级,Mo%,N%,Ni%,P+S%,Sn%,Ti夹杂,Ti夹杂物μm,备注,编号,脆性MAXμm,断面收缩率%,复核,硅含量%,过热级,基本组织,基体组织,晶粒度级,抗拉强度MPa,来源,磷含量%,硫含量%,炉号,锰含量%,偏析级,破断力KN,全脱碳μm,日期,JY_TIME,实测直径mm,索氏体率%,碳当量,碳当量%,碳含量%,椭圆度mm,网状组织级别级,网状组织级别级小于1,显微组织,心部马氏体岛级别级,样品来源,最大纵向横向夹杂尺寸μm,最深μm,CHECK_HG_FLAG,NASSISTNUM,NNUM,DSL
1001A110000000001H8R,0001B21000000004ZBB3,1,MD0000000005IVLFQOH8,武钢W82DA,IR0000000005ITOC2ZK5,中心C80A盘条,MD0000000005IS3HT1ME,0,0.001,,0.5,0.5,0.01,0.01,,,0.5,0.5,0.001,,0.002,0.028,,0,,,669,,42.9,崔恒伟,0.19,1,,S+微量Fe3C+少量P,8.5,1148,质量中心,0.015,0.013,A910363,0.51,2,27.56,0,2019/1/27,2019/1/27 0:00,5.53,90,,,0.813,0.17,0,,,0,,1,0,合格,2855432.84,912482188,1.418357393
1001A110000000001H8R,0001A11000000000JJN3,2,MD0000000005IVLFF03U,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,0,0.001,,0.5,0.5,0.037,0.01,,,0.5,0.5,0.001,,0.002,0.014,,0,,,317,,44.8,崔恒伟,0.19,1,,S+微量Fe3C+少量P,8.5,1149,质量中心,0.009,0.005,1920138,0.51,2,27.5,0,2019/1/9,2019/1/9 0:00,5.52,90,,,0.82,0.15,0,,,0,,1,0,合格,2922093.15,1375565942,1.921231388
1001A110000000001H8R,1001A1100000000CP7W8,3,MD0000000005JQ8B8NGY,青钢SWRH72A,IR0000000005ITOC2ZUG,中心C70A盘条,MD0000000005IS3HT1MA,0,0.001,,0.5,0.5,0.026,0.012,,,0.5,0.5,0.001,,0.002,0.017,,0,,,288,,49.7,崔恒伟,0.2,1,,S+微量F+少量P,9.5,1026,质量中心,0.009,0.008,183A363,0.53,2,24.39,0,2018/12/10,2018/12/10 0:00,5.5,90,,,0.723,0.12,0,,,0,,1,0,合格,1052165.32,559000266,2.468068589
1001A110000000001H8R,1006B21000000000033F,4,MD0000000005JQ8BHZZK,武钢WLX82AG,IR0000000005ITOC2YZV,盘条C80（001）,MD0000000005IS3HT4JA,0,0.001,,0.5,0.5,0.011,0.013,0.026,,0.5,0.5,0.001,0.006,0.002,0.017,0.002,,0,,778,5,51,崔恒伟,0.18,1,,,9.5,1147,,0.007,0.01,A825508,0.54,2,27.94,0,2018/10/8,2018/10/8 0:00,5.57,90,,0.874,0.832,0.06,0,,S+微量Fe3C+少量P,0,质量中心,1,0,合格,1985766.04,1301117126,9.224614283
1001A110000000001H8R,0001A11000000000JJN3,5,MD0000000005IVLFCW9H,青钢C82DA,IR0000000005ITOC311T,中心C80A盘条,MD0000000005IS3HT1ME,5,0.001,,0.5,0.5,0.025,0.011,,,0.5,0.5,0.001,,0.002,0.021,,0,,,189,,44.4,崔恒伟,0.18,1,,S+微量Fe3C+少量P,8.5,1133,质量中心,0.013,0.008,1910055,0.51,2,26.93,0,2019/1/6,2019/1/6 0:00,5.5,90,,,0.825,0.21,0,,,0,,1,40,合格,2730082.78,1153667764,2.351058102
1001A110000000001H8R,1001A1100000000CP7W8,6,MD0000000005IVC7YFHS,青钢SWRH72A,IR0000000005ITOC2ZUG,中心C70A盘条,MD0000000005IS3HT1MA,0,0.001,,0.5,0.5,0.019,0.007,,,0.5,0.5,0.001,,0.002,0.013,,0,,,506,,46.1,崔恒伟,0.19,1,,S+微量F+少量P,8.5,1074,质量中心,0.007,0.006,1931435,0.5,2,25.88,0,2019/2/17,2019/2/17 0:00,5.54,90,,,0.714,0.12,0,,,0,,1,0,合格,905772.69,493585757,1.326346817
1001A110000000001H8R,1001A1100000000CP7W8,7,MD0000000005JQ8B8G37,青钢SWRH72A,IR0000000005ITOC2ZUG,中心C70A盘条,MD0000000005IS3HT1MA,0,0.001,,0.5,0.5,0.024,0.015,,,0.5,0.5,0.001,,0.002,0.016,,0,,,236,,48.9,崔恒伟,0.2,1,,S+微量F+少量P,9.5,1017,质量中心,0.008,0.008,1838895,0.53,2,24.51,0,2018/11/1,2018/11/1 0:00,5.54,90,,,0.721,0.21,0,,,0,,1,0,合格,400245.56,199010073,1.112137922
1001A110000000001H8R,1001A1100000000CP7W8,8,MD0000000005JQ8B8M6D,青钢SWRH72A,IR0000000005ITOC2ZUG,中心C70A盘条,MD0000000005IS3HT1MA,8,0.001,,0.5,0.5,0.035,0.013,,,0.5,0.5,0.001,,0.002,0.021,,0,,,51,,49.8,崔恒伟,0.21,1,,S+微量F+少量P,9.5,1012,质量中心,0.008,0.013,1839971,0.52,2,24.58,0,2018/12/2,2018/12/2 0:00,5.56,90,,,0.732,0.1,0,,,0,,1,38,合格,675885.88,192131811,1.012701876
1001A110000000001H8R,1001A1100000000CP7W8,9,MD0000000005JQ8B8FOM,青钢SWRH72A,IR0000000005ITOC2ZUG,中心C70A盘条,MD0000000005IS3HT1MA,0,0.001,,0.5,0.5,0.026,0.014,,,0.5,0.5,0.001,,0.002,0.027,,0,,,222,,44.5,崔恒伟,0.211,1,,S+微量F+少量P,9.5,986,质量中心,0.008,0.019,1828512,0.52,2,24.12,0,2018/11/1,2018/11/1 0:00,5.58,90,,,0.731,0.19,0,,,0,,1,0,合格,137540.27,78506425,1.738022698
1001A110000000001H8R,0001B21000000004ZBB3,10,MD0000000005IVLFBI09,武钢W82DA,IR0000000005ITOC2ZK5,中心C80A盘条,MD0000000005IS3HT1ME,0,0.001,,0.5,0.5,0.017,0.009,,,0.5,0.5,0.001,,0.002,0.038,,0,,,175,,43.7,崔恒伟,0.18,1,,S+微量Fe3C+少量P,8.5,1142,质量中心,0.015,0.023,A827317,0.52,2,27.44,0,2019/1/4,2019/1/4 0:00,5.53,90,,,0.835,0.17,0,,,0,,1,0,合格,2492284.19,1113869943,1.007417058
