8区平均μm,Al%,A级,B级,Cr%,Cu%,Cu+Cr+Ni%,C级,Mo%,N%,Ni%,P+S%,断面收缩率%,硅含量%,晶粒度级,抗拉强度MPa,磷含量%,硫含量%,锰含量%,偏析级,破断力KN,实测直径mm,碳含量%,椭圆度mm,DSL,JH_INVBASDOC_0001A11000000000JJMI,JH_INVBASDOC_0001A11000000000JJMU,JH_INVBASDOC_0001A11000000000JJN3,JH_INVBASDOC_0001A11000000000JJN6,JH_INVBASDOC_0001B21000000004ZBB3,JH_INVBASDOC_0001B210000000079RFT,JH_INVBASDOC_1001A110000000009MGI,JH_INVBASDOC_1001A110000000009MN5,JH_INVBASDOC_1001A11000000005DV3H,JH_INVBASDOC_1001A1100000000CP7W8,JH_INVBASDOC_1006B21000000000033F,JH_INVNAME_武钢W82DA,JH_INVNAME_武钢WLX72A-X,JH_INVNAME_武钢WLX82AG,JH_INVNAME_武钢WLX92A,JH_INVNAME_青钢C72D2,JH_INVNAME_青钢C72DA,JH_INVNAME_青钢C82D2,JH_INVNAME_青钢C82DA,JH_INVNAME_青钢C86D2,JH_INVNAME_青钢C92D2E,JH_INVNAME_青钢SWRH72A,JH_INSPECTIONRELAPLAN_IR0000000005ITOC2XUQ,JH_INSPECTIONRELAPLAN_IR0000000005ITOC2YQW,JH_INSPECTIONRELAPLAN_IR0000000005ITOC2YZV,JH_INSPECTIONRELAPLAN_IR0000000005ITOC2ZK5,JH_INSPECTIONRELAPLAN_IR0000000005ITOC2ZUG,JH_INSPECTIONRELAPLAN_IR0000000005ITOC3001,JH_INSPECTIONRELAPLAN_IR0000000005ITOC3073,JH_INSPECTIONRELAPLAN_IR0000000005ITOC30K7,JH_INSPECTIONRELAPLAN_IR0000000005ITOC311T,JH_INSPECTIONRELAPLAN_IR0000000005ITOC317U,JH_INSPECTIONRELAPLAN_IR0000000005ITOC31EC,JH_INSPECTIONRELAPLANNAME_ZX_QG86_PT,JH_INSPECTIONRELAPLANNAME_中心C70A盘条,JH_INSPECTIONRELAPLANNAME_中心C80A盘条,JH_INSPECTIONRELAPLANNAME_盘条C70（001）,JH_INSPECTIONRELAPLANNAME_盘条C80（001）,JH_INSPECTIONRELAPLANNAME_盘条C90（001）,JH_INSPECTIONPLAN_MD0000000005IS3HT1MA,JH_INSPECTIONPLAN_MD0000000005IS3HT1ME,JH_INSPECTIONPLAN_MD0000000005IS3HT4J8,JH_INSPECTIONPLAN_MD0000000005IS3HT4JA,JH_INSPECTIONPLAN_MD0000000005IS3HT4JC,JH_INSPECTIONPLAN_MD0000000005IS3HT5WW,CHECK_HG_FLAG_不合格,CHECK_HG_FLAG_合格,基体组织_S+F微量+P少量,基体组织_S+少量F+少量P,基体组织_S+微量F+少量P,基体组织_S+微量Fe3C+少量P,基体组织_S+微量Fe3C+少量PS+微量Fe3C+少量P,基体组织_S+微量的Fe3C+少量P,实测直径-面积,椭圆度mm-平方项
0,0.001,0.5,0.5,0.01,0.01,0,0.5,0.001,0,0.002,0.028,42.9,0.19,8.5,1148,0.015,0.013,0.51,2,27.56,5.53,0.813,0.17,1.418357393,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,24.0181827,0.007225
0,0.001,0.5,0.5,0.037,0.01,0,0.5,0.001,0,0.002,0.014,44.8,0.19,8.5,1149,0.009,0.005,0.51,2,27.5,5.52,0.82,0.15,1.921231388,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,23.9313962,0.005625
0,0.001,0.5,0.5,0.026,0.012,0,0.5,0.001,0,0.002,0.017,49.7,0.2,9.5,1026,0.009,0.008,0.53,2,24.39,5.5,0.723,0.12,2.468068589,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,23.75829444,0.0036
5,0.001,0.5,0.5,0.025,0.011,0,0.5,0.001,0,0.002,0.021,44.4,0.18,8.5,1133,0.013,0.008,0.51,2,26.93,5.5,0.825,0.21,2.351058102,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,23.75829444,0.011025
0,0.001,0.5,0.5,0.019,0.007,0,0.5,0.001,0,0.002,0.013,46.1,0.19,8.5,1074,0.007,0.006,0.5,2,25.88,5.54,0.714,0.12,1.326346817,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,24.10512627,0.0036
0,0.001,0.5,0.5,0.024,0.015,0,0.5,0.001,0,0.002,0.016,48.9,0.2,9.5,1017,0.008,0.008,0.53,2,24.51,5.54,0.721,0.21,1.112137922,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,24.10512627,0.011025
8,0.001,0.5,0.5,0.035,0.013,0,0.5,0.001,0,0.002,0.021,49.8,0.21,9.5,1012,0.008,0.013,0.52,2,24.58,5.56,0.732,0.1,1.012701876,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,24.27948466,0.0025
0,0.001,0.5,0.5,0.026,0.014,0,0.5,0.001,0,0.002,0.027,44.5,0.211,9.5,986,0.008,0.019,0.52,2,24.12,5.58,0.731,0.19,1.738022698,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,24.45447137,0.009025
0,0.001,0.5,0.5,0.028,0.009,0,0.5,0.002,0,0.002,0.029,45.1,0.19,8.5,1105,0.011,0.018,0.52,2,26.24,5.5,0.825,0.08,4.185773687,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,23.75829444,0.0016
0,0.001,0.5,0.5,0.016,0.009,0,0.5,0.002,0,0.002,0.024,46.3,0.22,8.5,1170,0.016,0.008,0.53,1,28.29,5.55,0.835,0.12,2.682822988,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,24.19222693,0.0036
